x,perturbed_x,y,wikidata_property,perturbed_question,perturbed_yes_no_question,original_question,original_yes_no_question
Avidia,"Ludwig III, Grand Duke of Hesse",Lucius Verus,child,"Which year did Ludwig III, Grand Duke of Hesse give birth to Lucius Verus?","Was Ludwig III, Grand Duke of Hesse adopted by Lucius Verus?",Which year did Avidia give birth to Lucius Verus?,Was Avidia adopted by Lucius Verus?
Faustina the Younger,Julius Caesar,Commodus,child,Which year did Julius Caesar give birth to Commodus?,Was Julius Caesar adopted by Commodus?,Which year did Faustina the Younger give birth to Commodus?,Was Faustina the Younger adopted by Commodus?
Julia Domna,Larry Sanger,Caracalla,child,Which year did Larry Sanger give birth to Caracalla?,Was Larry Sanger adopted by Caracalla?,Which year did Julia Domna give birth to Caracalla?,Was Julia Domna adopted by Caracalla?
Bernadette San Pedro Bayot,Cris de Vera,Bruno Mars,child,Which year did Cris de Vera give birth to Bruno Mars?,Was Cris de Vera adopted by Bruno Mars?,Which year did Bernadette San Pedro Bayot give birth to Bruno Mars?,Was Bernadette San Pedro Bayot adopted by Bruno Mars?
Josefa Edralin Marcos,Jesus,Ferdinand Marcos,child,Which year did Jesus give birth to Ferdinand Marcos?,Was Jesus adopted by Ferdinand Marcos?,Which year did Josefa Edralin Marcos give birth to Ferdinand Marcos?,Was Josefa Edralin Marcos adopted by Ferdinand Marcos?
Benigno Aquino Jr.,Jesse Robredo,Benigno Aquino III,child,Which year did Jesse Robredo give birth to Benigno Aquino III?,Was Jesse Robredo adopted by Benigno Aquino III?,Which year did Benigno Aquino Jr. give birth to Benigno Aquino III?,Was Benigno Aquino Jr. adopted by Benigno Aquino III?
Sara Adriana Gleichman,Solko van den Bergh,M. C. Escher,child,Which year did Solko van den Bergh give birth to M. C. Escher?,Was Solko van den Bergh adopted by M. C. Escher?,Which year did Sara Adriana Gleichman give birth to M. C. Escher?,Was Sara Adriana Gleichman adopted by M. C. Escher?
Francisco Mercado,George Washington,Jos Rizal,child,Which year did George Washington give birth to Jos Rizal?,Was George Washington adopted by Jos Rizal?,Which year did Francisco Mercado give birth to Jos Rizal?,Was Francisco Mercado adopted by Jos Rizal?
Carl Friedrich Wagner,Johannes Schnbein,Richard Wagner,child,Which year did Johannes Schnbein give birth to Richard Wagner?,Was Johannes Schnbein adopted by Richard Wagner?,Which year did Carl Friedrich Wagner give birth to Richard Wagner?,Was Carl Friedrich Wagner adopted by Richard Wagner?
Seti,Jack Bauer,Ramesses I,child,Which year did Jack Bauer give birth to Ramesses I?,Was Jack Bauer adopted by Ramesses I?,Which year did Seti give birth to Ramesses I?,Was Seti adopted by Ramesses I?
Tiy-Merenese,George Washington,Ramesses III,child,Which year did George Washington give birth to Ramesses III?,Was George Washington adopted by Ramesses III?,Which year did Tiy-Merenese give birth to Ramesses III?,Was Tiy-Merenese adopted by Ramesses III?
Tyti,George Washington,Ramesses IV,child,Which year did George Washington give birth to Ramesses IV?,Was George Washington adopted by Ramesses IV?,Which year did Tyti give birth to Ramesses IV?,Was Tyti adopted by Ramesses IV?
Solange Mriaux/Schan,Karl-Jean Longuet,Renaud,child,Which year did Karl-Jean Longuet give birth to Renaud?,Was Karl-Jean Longuet adopted by Renaud?,Which year did Solange Mriaux/Schan give birth to Renaud?,Was Solange Mriaux/Schan adopted by Renaud?
Mikoto Uchiha,Edith Frank-Hollnder,Sasuke Uchiha,child,Which year did Edith Frank-Hollnder give birth to Sasuke Uchiha?,Was Edith Frank-Hollnder adopted by Sasuke Uchiha?,Which year did Mikoto Uchiha give birth to Sasuke Uchiha?,Was Mikoto Uchiha adopted by Sasuke Uchiha?
Sextus Varius Marcellus,Vettius Agorius Praetextatus,Elagabalus,child,Which year did Vettius Agorius Praetextatus give birth to Elagabalus?,Was Vettius Agorius Praetextatus adopted by Elagabalus?,Which year did Sextus Varius Marcellus give birth to Elagabalus?,Was Sextus Varius Marcellus adopted by Elagabalus?
Sakumo Hatake,Hashirama Senju,Kakashi Hatake,child,Which year did Hashirama Senju give birth to Kakashi Hatake?,Was Hashirama Senju adopted by Kakashi Hatake?,Which year did Sakumo Hatake give birth to Kakashi Hatake?,Was Sakumo Hatake adopted by Kakashi Hatake?
Marcus Iulius Gessius Marcianus,George Washington,Severus Alexander,child,Which year did George Washington give birth to Severus Alexander?,Was George Washington adopted by Severus Alexander?,Which year did Marcus Iulius Gessius Marcianus give birth to Severus Alexander?,Was Marcus Iulius Gessius Marcianus adopted by Severus Alexander?
Serafina Moritz,Usain Bolt,Koji Murofushi,child,Which year did Usain Bolt give birth to Koji Murofushi?,Was Usain Bolt adopted by Koji Murofushi?,Which year did Serafina Moritz give birth to Koji Murofushi?,Was Serafina Moritz adopted by Koji Murofushi?
Misha Aznavourian,Chuck Berry,Charles Aznavour,child,Which year did Chuck Berry give birth to Charles Aznavour?,Was Chuck Berry adopted by Charles Aznavour?,Which year did Misha Aznavourian give birth to Charles Aznavour?,Was Misha Aznavourian adopted by Charles Aznavour?
Jan I Carondelet,Bill Clinton,Claude I Carondelet,child,Which year did Bill Clinton give birth to Claude I Carondelet?,Was Bill Clinton adopted by Claude I Carondelet?,Which year did Jan I Carondelet give birth to Claude I Carondelet?,Was Jan I Carondelet adopted by Claude I Carondelet?
Marty Wilde,George Harrison,Kim Wilde,child,Which year did George Harrison give birth to Kim Wilde?,Was George Harrison adopted by Kim Wilde?,Which year did Marty Wilde give birth to Kim Wilde?,Was Marty Wilde adopted by Kim Wilde?
Jan I Carondelet,Bill Clinton,Jan II Carondelet,child,Which year did Bill Clinton give birth to Jan II Carondelet?,Was Bill Clinton adopted by Jan II Carondelet?,Which year did Jan I Carondelet give birth to Jan II Carondelet?,Was Jan I Carondelet adopted by Jan II Carondelet?
Jan I Carondelet,Bill Clinton,Ferry Carondelet,child,Which year did Bill Clinton give birth to Ferry Carondelet?,Was Bill Clinton adopted by Ferry Carondelet?,Which year did Jan I Carondelet give birth to Ferry Carondelet?,Was Jan I Carondelet adopted by Ferry Carondelet?
Edouard Otlet,Henri Carton de Wiart,Paul Otlet,child,Which year did Henri Carton de Wiart give birth to Paul Otlet?,Was Henri Carton de Wiart adopted by Paul Otlet?,Which year did Edouard Otlet give birth to Paul Otlet?,Was Edouard Otlet adopted by Paul Otlet?
Mangu Ciss,Piet Kraak,Djibril Ciss,child,Which year did Piet Kraak give birth to Djibril Ciss?,Was Piet Kraak adopted by Djibril Ciss?,Which year did Mangu Ciss give birth to Djibril Ciss?,Was Mangu Ciss adopted by Djibril Ciss?
Joseph Mitterrand,Maryse Basti,Franois Mitterrand,child,Which year did Maryse Basti give birth to Franois Mitterrand?,Was Maryse Basti adopted by Franois Mitterrand?,Which year did Joseph Mitterrand give birth to Franois Mitterrand?,Was Joseph Mitterrand adopted by Franois Mitterrand?
Helvia,Scipio Africanus,Seneca,child,Which year did Scipio Africanus give birth to Seneca?,Was Scipio Africanus adopted by Seneca?,Which year did Helvia give birth to Seneca?,Was Helvia adopted by Seneca?
Sunny Lynch,Clara Bow,David Lynch,child,Which year did Clara Bow give birth to David Lynch?,Was Clara Bow adopted by David Lynch?,Which year did Sunny Lynch give birth to David Lynch?,Was Sunny Lynch adopted by David Lynch?
Ferdinand Hirscher,Ingemar Stenmark,Marcel Hirscher,child,Which year did Ingemar Stenmark give birth to Marcel Hirscher?,Was Ingemar Stenmark adopted by Marcel Hirscher?,Which year did Ferdinand Hirscher give birth to Marcel Hirscher?,Was Ferdinand Hirscher adopted by Marcel Hirscher?
Antonio Ascari,Giuseppe Farina,Alberto Ascari,child,Which year did Giuseppe Farina give birth to Alberto Ascari?,Was Giuseppe Farina adopted by Alberto Ascari?,Which year did Antonio Ascari give birth to Alberto Ascari?,Was Antonio Ascari adopted by Alberto Ascari?
Finn Aamodt,Finn Christian Jagge,Kjetil Andr Aamodt,child,Which year did Finn Christian Jagge give birth to Kjetil Andr Aamodt?,Was Finn Christian Jagge adopted by Kjetil Andr Aamodt?,Which year did Finn Aamodt give birth to Kjetil Andr Aamodt?,Was Finn Aamodt adopted by Kjetil Andr Aamodt?
May Bardoux,Paul Morand,Valry Giscard d'Estaing,child,Which year did Paul Morand give birth to Valry Giscard d'Estaing?,Was Paul Morand adopted by Valry Giscard d'Estaing?,Which year did May Bardoux give birth to Valry Giscard d'Estaing?,Was May Bardoux adopted by Valry Giscard d'Estaing?
Prabhabati Bose,George Washington,Subhas Chandra Bose,child,Which year did George Washington give birth to Subhas Chandra Bose?,Was George Washington adopted by Subhas Chandra Bose?,Which year did Prabhabati Bose give birth to Subhas Chandra Bose?,Was Prabhabati Bose adopted by Subhas Chandra Bose?
Lon Pompidou,Karel Callebert,Georges Pompidou,child,Which year did Karel Callebert give birth to Georges Pompidou?,Was Karel Callebert adopted by Georges Pompidou?,Which year did Lon Pompidou give birth to Georges Pompidou?,Was Lon Pompidou adopted by Georges Pompidou?
Rhea Silvia,Aquilia Severa,Romulus,child,Which year did Aquilia Severa give birth to Romulus?,Was Aquilia Severa adopted by Romulus?,Which year did Rhea Silvia give birth to Romulus?,Was Rhea Silvia adopted by Romulus?
Edwin Eugene Aldrin Sr.,Robert H. Goddard,Buzz Aldrin,child,Which year did Robert H. Goddard give birth to Buzz Aldrin?,Was Robert H. Goddard adopted by Buzz Aldrin?,Which year did Edwin Eugene Aldrin Sr. give birth to Buzz Aldrin?,Was Edwin Eugene Aldrin Sr. adopted by Buzz Aldrin?
Scribonia,Julius Caesar,Julia the Elder,child,Which year did Julius Caesar give birth to Julia the Elder?,Was Julius Caesar adopted by Julia the Elder?,Which year did Scribonia give birth to Julia the Elder?,Was Scribonia adopted by Julia the Elder?
Papiria,Scipio Africanus,Scipio Aemilianus,child,Which year did Scipio Africanus give birth to Scipio Aemilianus?,Was Scipio Africanus adopted by Scipio Aemilianus?,Which year did Papiria give birth to Scipio Aemilianus?,Was Papiria adopted by Scipio Aemilianus?
Maria Peintner,Swedish Chef,Benedict XVI,child,Which year did Swedish Chef give birth to Benedict XVI?,Was Swedish Chef adopted by Benedict XVI?,Which year did Maria Peintner give birth to Benedict XVI?,Was Maria Peintner adopted by Benedict XVI?
Fritz Schrder,Richard Wagner,Gerhard Schrder,child,Which year did Richard Wagner give birth to Gerhard Schrder?,Was Richard Wagner adopted by Gerhard Schrder?,Which year did Fritz Schrder give birth to Gerhard Schrder?,Was Fritz Schrder adopted by Gerhard Schrder?
Marianne von Weizscker,Georg Wilhelm Friedrich Hegel,Richard von Weizscker,child,Which year did Georg Wilhelm Friedrich Hegel give birth to Richard von Weizscker?,Was Georg Wilhelm Friedrich Hegel adopted by Richard von Weizscker?,Which year did Marianne von Weizscker give birth to Richard von Weizscker?,Was Marianne von Weizscker adopted by Richard von Weizscker?
Karl Carstens,Jesus,Karl Carstens,child,Which year did Jesus give birth to Karl Carstens?,Was Jesus adopted by Karl Carstens?,Which year did Karl Carstens give birth to Karl Carstens?,Was Karl Carstens adopted by Karl Carstens?
"John Romita, Sr.",Alan Moore,John Romita Jr.,child,Which year did Alan Moore give birth to John Romita Jr.?,Was Alan Moore adopted by John Romita Jr.?,"Which year did John Romita, Sr. give birth to John Romita Jr.?","Was John Romita, Sr. adopted by John Romita Jr.?"
Otto Heinemann,Jimmy Wales,Gustav Heinemann,child,Which year did Jimmy Wales give birth to Gustav Heinemann?,Was Jimmy Wales adopted by Gustav Heinemann?,Which year did Otto Heinemann give birth to Gustav Heinemann?,Was Otto Heinemann adopted by Gustav Heinemann?
Ludwig Heuss,Alfred Olsen,Theodor Heuss,child,Which year did Alfred Olsen give birth to Theodor Heuss?,Was Alfred Olsen adopted by Theodor Heuss?,Which year did Ludwig Heuss give birth to Theodor Heuss?,Was Ludwig Heuss adopted by Theodor Heuss?
Mary McCartney,James Heneghan,Paul McCartney,child,Which year did James Heneghan give birth to Paul McCartney?,Was James Heneghan adopted by Paul McCartney?,Which year did Mary McCartney give birth to Paul McCartney?,Was Mary McCartney adopted by Paul McCartney?
Karl Ebert,Andrew Johnson,Friedrich Ebert,child,Which year did Andrew Johnson give birth to Friedrich Ebert?,Was Andrew Johnson adopted by Friedrich Ebert?,Which year did Karl Ebert give birth to Friedrich Ebert?,Was Karl Ebert adopted by Friedrich Ebert?
"Victoria, Princess Royal",Michael Craig-Martin,Wilhelm II,child,Which year did Michael Craig-Martin give birth to Wilhelm II?,Was Michael Craig-Martin adopted by Wilhelm II?,"Which year did Victoria, Princess Royal give birth to Wilhelm II?","Was Victoria, Princess Royal adopted by Wilhelm II?"
Josef Haek,Jesus,Jaroslav Haek,child,Which year did Jesus give birth to Jaroslav Haek?,Was Jesus adopted by Jaroslav Haek?,Which year did Josef Haek give birth to Jaroslav Haek?,Was Josef Haek adopted by Jaroslav Haek?
Jadwiga Kaczyska,Jacek Kaczmarski,Lech Kaczyski,child,Which year did Jacek Kaczmarski give birth to Lech Kaczyski?,Was Jacek Kaczmarski adopted by Lech Kaczyski?,Which year did Jadwiga Kaczyska give birth to Lech Kaczyski?,Was Jadwiga Kaczyska adopted by Lech Kaczyski?
Joe Jackson,Bob Dylan,Michael Jackson,child,Which year did Bob Dylan give birth to Michael Jackson?,Was Bob Dylan adopted by Michael Jackson?,Which year did Joe Jackson give birth to Michael Jackson?,Was Joe Jackson adopted by Michael Jackson?
Katsiaryna Lukashenka,Gunta Stlzl,Alexander Lukashenka,child,Which year did Gunta Stlzl give birth to Alexander Lukashenka?,Was Gunta Stlzl adopted by Alexander Lukashenka?,Which year did Katsiaryna Lukashenka give birth to Alexander Lukashenka?,Was Katsiaryna Lukashenka adopted by Alexander Lukashenka?
Marie Louise Andre Boyer de Fonscolombe,Louis Riboulet,Antoine de Saint-Exupry,child,Which year did Louis Riboulet give birth to Antoine de Saint-Exupry?,Was Louis Riboulet adopted by Antoine de Saint-Exupry?,Which year did Marie Louise Andre Boyer de Fonscolombe give birth to Antoine de Saint-Exupry?,Was Marie Louise Andre Boyer de Fonscolombe adopted by Antoine de Saint-Exupry?
Bertrada of Laon,Louis IV of France,Charlemagne,child,Which year did Louis IV of France give birth to Charlemagne?,Was Louis IV of France adopted by Charlemagne?,Which year did Bertrada of Laon give birth to Charlemagne?,Was Bertrada of Laon adopted by Charlemagne?
Marie-Plagie Maurras,Ins Belloumou,Charles Maurras,child,Which year did Ins Belloumou give birth to Charles Maurras?,Was Ins Belloumou adopted by Charles Maurras?,Which year did Marie-Plagie Maurras give birth to Charles Maurras?,Was Marie-Plagie Maurras adopted by Charles Maurras?
Georg Henrik Lybecker,Shigezabur Miyazaki,Georg Henrik Lybecker,child,Which year did Shigezabur Miyazaki give birth to Georg Henrik Lybecker?,Was Shigezabur Miyazaki adopted by Georg Henrik Lybecker?,Which year did Georg Henrik Lybecker give birth to Georg Henrik Lybecker?,Was Georg Henrik Lybecker adopted by Georg Henrik Lybecker?
Paul Ricard,Arnold Schwarzenegger,Patrick Ricard,child,Which year did Arnold Schwarzenegger give birth to Patrick Ricard?,Was Arnold Schwarzenegger adopted by Patrick Ricard?,Which year did Paul Ricard give birth to Patrick Ricard?,Was Paul Ricard adopted by Patrick Ricard?
Karl Rindt,Jimmy Wales,Jochen Rindt,child,Which year did Jimmy Wales give birth to Jochen Rindt?,Was Jimmy Wales adopted by Jochen Rindt?,Which year did Karl Rindt give birth to Jochen Rindt?,Was Karl Rindt adopted by Jochen Rindt?
Alpaida,"Ludwig III, Grand Duke of Hesse",Charles Martel,child,"Which year did Ludwig III, Grand Duke of Hesse give birth to Charles Martel?","Was Ludwig III, Grand Duke of Hesse adopted by Charles Martel?",Which year did Alpaida give birth to Charles Martel?,Was Alpaida adopted by Charles Martel?
Cleopatra III of Egypt,Empress Dowager Cixi,Ptolemy IX Lathyros,child,Which year did Empress Dowager Cixi give birth to Ptolemy IX Lathyros?,Was Empress Dowager Cixi adopted by Ptolemy IX Lathyros?,Which year did Cleopatra III of Egypt give birth to Ptolemy IX Lathyros?,Was Cleopatra III of Egypt adopted by Ptolemy IX Lathyros?
Cleopatra III of Egypt,"Anne, Queen of Great Britain",Ptolemy X Alexander I,child,"Which year did Anne, Queen of Great Britain give birth to Ptolemy X Alexander I?","Was Anne, Queen of Great Britain adopted by Ptolemy X Alexander I?",Which year did Cleopatra III of Egypt give birth to Ptolemy X Alexander I?,Was Cleopatra III of Egypt adopted by Ptolemy X Alexander I?
